log_file	variant	topology	nodes	scenario	seed
log_B1_grid_50nodes_rank_seed20260602.log	B1	grid	50	rank	20260602
log_B1_grid_50nodes_rank_seed20260603.log	B1	grid	50	rank	20260603
log_B1_grid_50nodes_rank_seed20260604.log	B1	grid	50	rank	20260604
log_B1_grid_50nodes_rank_seed20260605.log	B1	grid	50	rank	20260605
log_B1_grid_50nodes_rank_seed20260606.log	B1	grid	50	rank	20260606
log_B1_grid_50nodes_rank_seed20260607.log	B1	grid	50	rank	20260607
log_B1_grid_50nodes_rank_seed20260608.log	B1	grid	50	rank	20260608
log_B1_grid_50nodes_rank_seed20260609.log	B1	grid	50	rank	20260609
log_B1_grid_50nodes_rank_seed20260610.log	B1	grid	50	rank	20260610
log_B1_grid_50nodes_rank_seed20260611.log	B1	grid	50	rank	20260611
log_B1_grid_50nodes_rank_seed20260612.log	B1	grid	50	rank	20260612
log_B1_grid_50nodes_rank_seed20260613.log	B1	grid	50	rank	20260613
log_B1_grid_50nodes_rank_seed20260614.log	B1	grid	50	rank	20260614
log_B1_grid_50nodes_rank_seed20260615.log	B1	grid	50	rank	20260615
log_B1_grid_50nodes_rank_seed20260616.log	B1	grid	50	rank	20260616
log_B1_grid_50nodes_rank_seed20260617.log	B1	grid	50	rank	20260617
log_B1_grid_50nodes_rank_seed20260618.log	B1	grid	50	rank	20260618
log_B1_grid_50nodes_rank_seed20260619.log	B1	grid	50	rank	20260619
log_B1_grid_50nodes_rank_seed20260620.log	B1	grid	50	rank	20260620
log_B1_grid_50nodes_rank_seed20260621.log	B1	grid	50	rank	20260621
log_B1_grid_50nodes_sel_fwd_seed20260602.log	B1	grid	50	sel_fwd	20260602
log_B1_grid_50nodes_sel_fwd_seed20260603.log	B1	grid	50	sel_fwd	20260603
log_B1_grid_50nodes_sel_fwd_seed20260604.log	B1	grid	50	sel_fwd	20260604
log_B1_grid_50nodes_sel_fwd_seed20260605.log	B1	grid	50	sel_fwd	20260605
log_B1_grid_50nodes_sel_fwd_seed20260606.log	B1	grid	50	sel_fwd	20260606
log_B1_grid_50nodes_sel_fwd_seed20260607.log	B1	grid	50	sel_fwd	20260607
log_B1_grid_50nodes_sel_fwd_seed20260608.log	B1	grid	50	sel_fwd	20260608
log_B1_grid_50nodes_sel_fwd_seed20260609.log	B1	grid	50	sel_fwd	20260609
log_B2_grid_50n_mixed_seed1001.log	UNKNOWN	grid	50	mixed	0
log_B2_grid_50n_mixed_seed1002.log	UNKNOWN	grid	50	mixed	0
log_B2_grid_50n_mixed_seed1003.log	UNKNOWN	grid	50	mixed	0
log_B3_grid_50n_mixed_seed1001.log	UNKNOWN	grid	50	mixed	0
log_B3_grid_50n_mixed_seed1002.log	UNKNOWN	grid	50	mixed	0
log_B3_grid_50n_mixed_seed1003.log	UNKNOWN	grid	50	mixed	0
log_CLUSTERIDS_NOCLUS_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOCLUS	grid	50	mixed	20260602
log_CLUSTERIDS_NOCLUS_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOCLUS	grid	50	mixed	20260603
log_CLUSTERIDS_NOCLUS_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOCLUS	grid	50	mixed	20260604
log_CLUSTERIDS_NOCTX_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOCTX	grid	50	mixed	20260602
log_CLUSTERIDS_NOCTX_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOCTX	grid	50	mixed	20260603
log_CLUSTERIDS_NOCTX_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOCTX	grid	50	mixed	20260604
log_CLUSTERIDS_NOENR_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOENR	grid	50	mixed	20260602
log_CLUSTERIDS_NOENR_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOENR	grid	50	mixed	20260603
log_CLUSTERIDS_NOENR_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOENR	grid	50	mixed	20260604
log_CLUSTERIDS_NOML_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOML	grid	50	mixed	20260602
log_CLUSTERIDS_NOML_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOML	grid	50	mixed	20260603
log_CLUSTERIDS_NOML_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOML	grid	50	mixed	20260604
log_CLUSTERIDS_grid_3nodes_none_seed1001.log	CLUSTERIDS	grid	3	none	1001
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260602.log	CLUSTERIDS	grid	50	dao_flood	20260602
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260603.log	CLUSTERIDS	grid	50	dao_flood	20260603
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260604.log	CLUSTERIDS	grid	50	dao_flood	20260604
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260605.log	CLUSTERIDS	grid	50	dao_flood	20260605
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260606.log	CLUSTERIDS	grid	50	dao_flood	20260606
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260607.log	CLUSTERIDS	grid	50	dao_flood	20260607
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260608.log	CLUSTERIDS	grid	50	dao_flood	20260608
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260609.log	CLUSTERIDS	grid	50	dao_flood	20260609
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260610.log	CLUSTERIDS	grid	50	dao_flood	20260610
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260611.log	CLUSTERIDS	grid	50	dao_flood	20260611
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260612.log	CLUSTERIDS	grid	50	dao_flood	20260612
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260613.log	CLUSTERIDS	grid	50	dao_flood	20260613
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260614.log	CLUSTERIDS	grid	50	dao_flood	20260614
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260615.log	CLUSTERIDS	grid	50	dao_flood	20260615
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260616.log	CLUSTERIDS	grid	50	dao_flood	20260616
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260617.log	CLUSTERIDS	grid	50	dao_flood	20260617
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260618.log	CLUSTERIDS	grid	50	dao_flood	20260618
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260619.log	CLUSTERIDS	grid	50	dao_flood	20260619
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260620.log	CLUSTERIDS	grid	50	dao_flood	20260620
log_CLUSTERIDS_grid_50nodes_dao_flood_seed20260621.log	CLUSTERIDS	grid	50	dao_flood	20260621
log_CLUSTERIDS_grid_50nodes_mixed_seed20260602.log	CLUSTERIDS	grid	50	mixed	20260602
log_CLUSTERIDS_grid_50nodes_mixed_seed20260603.log	CLUSTERIDS	grid	50	mixed	20260603
log_CLUSTERIDS_grid_50nodes_mixed_seed20260604.log	CLUSTERIDS	grid	50	mixed	20260604
log_CLUSTERIDS_grid_50nodes_mixed_seed20260605.log	CLUSTERIDS	grid	50	mixed	20260605
log_CLUSTERIDS_grid_50nodes_mixed_seed20260606.log	CLUSTERIDS	grid	50	mixed	20260606
log_CLUSTERIDS_grid_50nodes_mixed_seed20260607.log	CLUSTERIDS	grid	50	mixed	20260607
log_CLUSTERIDS_grid_50nodes_mixed_seed20260608.log	CLUSTERIDS	grid	50	mixed	20260608
log_CLUSTERIDS_grid_50nodes_mixed_seed20260609.log	CLUSTERIDS	grid	50	mixed	20260609
log_CLUSTERIDS_grid_50nodes_mixed_seed20260610.log	CLUSTERIDS	grid	50	mixed	20260610
log_CLUSTERIDS_grid_50nodes_mixed_seed20260611.log	CLUSTERIDS	grid	50	mixed	20260611
log_CLUSTERIDS_grid_50nodes_mixed_seed20260612.log	CLUSTERIDS	grid	50	mixed	20260612
log_CLUSTERIDS_grid_50nodes_mixed_seed20260613.log	CLUSTERIDS	grid	50	mixed	20260613
log_CLUSTERIDS_grid_50nodes_mixed_seed20260614.log	CLUSTERIDS	grid	50	mixed	20260614
log_CLUSTERIDS_grid_50nodes_mixed_seed20260615.log	CLUSTERIDS	grid	50	mixed	20260615
log_CLUSTERIDS_grid_50nodes_mixed_seed20260616.log	CLUSTERIDS	grid	50	mixed	20260616
log_CLUSTERIDS_grid_50nodes_mixed_seed20260617.log	CLUSTERIDS	grid	50	mixed	20260617
log_CLUSTERIDS_grid_50nodes_mixed_seed20260618.log	CLUSTERIDS	grid	50	mixed	20260618
log_CLUSTERIDS_grid_50nodes_mixed_seed20260619.log	CLUSTERIDS	grid	50	mixed	20260619
log_CLUSTERIDS_grid_50nodes_mixed_seed20260620.log	CLUSTERIDS	grid	50	mixed	20260620
log_CLUSTERIDS_grid_50nodes_mixed_seed20260621.log	CLUSTERIDS	grid	50	mixed	20260621
log_CLUSTERIDS_grid_50nodes_rank_seed20260602.log	CLUSTERIDS	grid	50	rank	20260602
log_CLUSTERIDS_grid_50nodes_rank_seed20260603.log	CLUSTERIDS	grid	50	rank	20260603
log_CLUSTERIDS_grid_50nodes_rank_seed20260604.log	CLUSTERIDS	grid	50	rank	20260604
log_CLUSTERIDS_grid_50nodes_rank_seed20260605.log	CLUSTERIDS	grid	50	rank	20260605
log_CLUSTERIDS_grid_50nodes_rank_seed20260606.log	CLUSTERIDS	grid	50	rank	20260606
log_CLUSTERIDS_grid_50nodes_rank_seed20260607.log	CLUSTERIDS	grid	50	rank	20260607
log_CLUSTERIDS_grid_50nodes_rank_seed20260608.log	CLUSTERIDS	grid	50	rank	20260608
log_CLUSTERIDS_grid_50nodes_rank_seed20260609.log	CLUSTERIDS	grid	50	rank	20260609
log_CLUSTERIDS_grid_50nodes_rank_seed20260610.log	CLUSTERIDS	grid	50	rank	20260610
log_CLUSTERIDS_grid_50nodes_rank_seed20260611.log	CLUSTERIDS	grid	50	rank	20260611
log_CLUSTERIDS_grid_50nodes_rank_seed20260612.log	CLUSTERIDS	grid	50	rank	20260612
