variant,nodes,mean_alerts_per_hour,mean_ctrl_pkts_per_hour
B3,1,0.00,2.07
B3,2,0.00,6.32
B3,3,0.00,6.09
B3,4,0.00,5.22
B3,5,0.00,3.60
B3,6,0.00,5.85
B3,7,0.00,2.67
B3,8,0.00,4.61
B3,9,0.00,4.72
B3,10,0.00,7.72
B3,11,0.00,7.26
B3,12,0.00,3.58
B3,13,0.00,5.00
B3,14,0.00,3.07
B3,15,0.00,7.48
B3,16,0.00,7.22
B3,17,0.00,3.79
B3,18,0.00,5.83
B3,19,0.00,5.65
B3,20,0.00,2.92
B3,21,0.00,6.58
B3,22,0.00,5.24
B3,23,0.00,6.67
B3,24,0.00,5.18
B3,25,0.00,2.00
B3,26,0.00,3.94
B3,27,0.00,2.12
B3,28,0.00,7.57
B3,29,0.00,7.27
B3,30,0.00,6.99
B3,31,0.00,3.85
B3,32,0.00,2.35
B3,33,0.00,7.27
B3,34,0.00,7.68
B3,35,0.00,2.51
B3,36,0.00,4.92
B3,37,0.00,2.42
B3,38,0.00,6.56
B3,39,0.00,6.60
B3,40,0.00,2.77
B3,41,0.00,4.85
B3,42,0.00,5.30
B3,43,0.00,3.59
B3,44,0.00,7.23
B3,45,0.00,4.54
B3,46,0.00,3.27
B3,47,0.00,5.24
B3,48,0.00,6.38
B3,49,0.00,3.21
B3,50,0.00,3.87
