variant,nodes,mean_alerts_per_hour,mean_ctrl_pkts_per_hour
CLUSTERIDS,1,47.90,17.93
CLUSTERIDS,2,42.77,18.69
CLUSTERIDS,3,46.03,18.74
CLUSTERIDS,4,43.60,19.70
CLUSTERIDS,5,45.18,19.05
CLUSTERIDS,6,47.55,18.91
CLUSTERIDS,7,45.57,21.23
CLUSTERIDS,8,45.49,17.56
CLUSTERIDS,9,45.22,20.22
CLUSTERIDS,10,45.24,18.78
CLUSTERIDS,11,47.39,17.23
CLUSTERIDS,12,41.55,18.45
CLUSTERIDS,13,45.46,17.09
CLUSTERIDS,14,46.74,18.91
CLUSTERIDS,15,43.01,18.78
CLUSTERIDS,16,44.61,15.78
CLUSTERIDS,17,45.91,17.93
CLUSTERIDS,18,43.51,18.78
CLUSTERIDS,19,45.98,17.13
CLUSTERIDS,20,45.80,19.52
CLUSTERIDS,21,43.57,18.57
CLUSTERIDS,22,45.01,21.40
CLUSTERIDS,23,41.28,19.04
CLUSTERIDS,24,44.39,17.85
CLUSTERIDS,25,48.80,17.99
CLUSTERIDS,26,49.48,17.34
CLUSTERIDS,27,45.70,17.26
CLUSTERIDS,28,43.62,18.09
CLUSTERIDS,29,44.43,18.30
CLUSTERIDS,30,40.79,21.00
CLUSTERIDS,31,44.67,20.61
CLUSTERIDS,32,42.99,18.44
CLUSTERIDS,33,51.33,16.70
CLUSTERIDS,34,42.01,17.18
CLUSTERIDS,35,45.94,19.04
CLUSTERIDS,36,47.58,17.61
CLUSTERIDS,37,41.80,17.35
CLUSTERIDS,38,47.48,18.70
CLUSTERIDS,39,41.09,17.95
CLUSTERIDS,40,47.80,21.19
CLUSTERIDS,41,46.12,18.46
CLUSTERIDS,42,42.52,16.74
CLUSTERIDS,43,45.09,18.75
CLUSTERIDS,44,46.16,17.28
CLUSTERIDS,45,42.70,16.83
CLUSTERIDS,46,42.69,18.97
CLUSTERIDS,47,40.38,17.50
CLUSTERIDS,48,45.90,20.28
CLUSTERIDS,49,45.14,19.50
CLUSTERIDS,50,44.20,16.88
