log_file	variant	topology	nodes	scenario	seed
log_B1_grid_50nodes_dao_flood_seed20260602.log	B1	grid	50	dao_flood	20260602
log_B1_grid_50nodes_dao_flood_seed20260603.log	B1	grid	50	dao_flood	20260603
log_B1_grid_50nodes_dao_flood_seed20260604.log	B1	grid	50	dao_flood	20260604
log_B1_grid_50nodes_mixed_seed20260602.log	B1	grid	50	mixed	20260602
log_B1_grid_50nodes_mixed_seed20260603.log	B1	grid	50	mixed	20260603
log_B1_grid_50nodes_mixed_seed20260604.log	B1	grid	50	mixed	20260604
log_B1_grid_50nodes_rank_seed20260602.log	B1	grid	50	rank	20260602
log_B1_grid_50nodes_rank_seed20260603.log	B1	grid	50	rank	20260603
log_B1_grid_50nodes_rank_seed20260604.log	B1	grid	50	rank	20260604
log_B1_grid_50nodes_sel_fwd_seed20260602.log	B1	grid	50	sel_fwd	20260602
log_B1_grid_50nodes_sel_fwd_seed20260603.log	B1	grid	50	sel_fwd	20260603
log_B1_grid_50nodes_sel_fwd_seed20260604.log	B1	grid	50	sel_fwd	20260604
log_B1_grid_50nodes_wormhole_seed20260602.log	B1	grid	50	wormhole	20260602
log_B1_grid_50nodes_wormhole_seed20260603.log	B1	grid	50	wormhole	20260603
log_B1_grid_50nodes_wormhole_seed20260604.log	B1	grid	50	wormhole	20260604
log_B2_grid_50nodes_dao_flood_seed20260602.log	B2	grid	50	dao_flood	20260602
log_B2_grid_50nodes_dao_flood_seed20260603.log	B2	grid	50	dao_flood	20260603
log_B2_grid_50nodes_dao_flood_seed20260604.log	B2	grid	50	dao_flood	20260604
log_B2_grid_50nodes_mixed_seed20260602.log	B2	grid	50	mixed	20260602
log_B2_grid_50nodes_mixed_seed20260603.log	B2	grid	50	mixed	20260603
log_B2_grid_50nodes_mixed_seed20260604.log	B2	grid	50	mixed	20260604
log_B2_grid_50nodes_rank_seed20260602.log	B2	grid	50	rank	20260602
log_B2_grid_50nodes_rank_seed20260603.log	B2	grid	50	rank	20260603
log_B2_grid_50nodes_rank_seed20260604.log	B2	grid	50	rank	20260604
log_B2_grid_50nodes_sel_fwd_seed20260602.log	B2	grid	50	sel_fwd	20260602
log_B2_grid_50nodes_sel_fwd_seed20260603.log	B2	grid	50	sel_fwd	20260603
log_B2_grid_50nodes_sel_fwd_seed20260604.log	B2	grid	50	sel_fwd	20260604
log_B2_grid_50nodes_wormhole_seed20260602.log	B2	grid	50	wormhole	20260602
log_B2_grid_50nodes_wormhole_seed20260603.log	B2	grid	50	wormhole	20260603
log_B2_grid_50nodes_wormhole_seed20260604.log	B2	grid	50	wormhole	20260604
log_B3_grid_50nodes_dao_flood_seed20260602.log	B3	grid	50	dao_flood	20260602
log_B3_grid_50nodes_dao_flood_seed20260603.log	B3	grid	50	dao_flood	20260603
log_B3_grid_50nodes_dao_flood_seed20260604.log	B3	grid	50	dao_flood	20260604
log_B3_grid_50nodes_mixed_seed20260602.log	B3	grid	50	mixed	20260602
log_B3_grid_50nodes_mixed_seed20260603.log	B3	grid	50	mixed	20260603
log_B3_grid_50nodes_mixed_seed20260604.log	B3	grid	50	mixed	20260604
log_B3_grid_50nodes_rank_seed20260602.log	B3	grid	50	rank	20260602
log_B3_grid_50nodes_rank_seed20260603.log	B3	grid	50	rank	20260603
log_B3_grid_50nodes_rank_seed20260604.log	B3	grid	50	rank	20260604
log_B3_grid_50nodes_sel_fwd_seed20260602.log	B3	grid	50	sel_fwd	20260602
log_B3_grid_50nodes_sel_fwd_seed20260603.log	B3	grid	50	sel_fwd	20260603
log_B3_grid_50nodes_sel_fwd_seed20260604.log	B3	grid	50	sel_fwd	20260604
log_B3_grid_50nodes_wormhole_seed20260602.log	B3	grid	50	wormhole	20260602
log_B3_grid_50nodes_wormhole_seed20260603.log	B3	grid	50	wormhole	20260603
log_B3_grid_50nodes_wormhole_seed20260604.log	B3	grid	50	wormhole	20260604
log_CLUSTERIDS_NOCLUS_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOCLUS	grid	50	mixed	20260602
log_CLUSTERIDS_NOCLUS_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOCLUS	grid	50	mixed	20260603
log_CLUSTERIDS_NOCLUS_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOCLUS	grid	50	mixed	20260604
log_CLUSTERIDS_NOCTX_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOCTX	grid	50	mixed	20260602
log_CLUSTERIDS_NOCTX_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOCTX	grid	50	mixed	20260603
log_CLUSTERIDS_NOCTX_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOCTX	grid	50	mixed	20260604
log_CLUSTERIDS_NOENR_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOENR	grid	50	mixed	20260602
log_CLUSTERIDS_NOENR_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOENR	grid	50	mixed	20260603
log_CLUSTERIDS_NOENR_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOENR	grid	50	mixed	20260604
log_CLUSTERIDS_NOML_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS_NOML	grid	50	mixed	20260602
log_CLUSTERIDS_NOML_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS_NOML	grid	50	mixed	20260603
log_CLUSTERIDS_NOML_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS_NOML	grid	50	mixed	20260604
log_CLUSTERIDS_grid_50nodes_dao_flood_balanced_seed20260602.log	CLUSTERIDS	grid	50	dao_flood	20260602
log_CLUSTERIDS_grid_50nodes_dao_flood_balanced_seed20260603.log	CLUSTERIDS	grid	50	dao_flood	20260603
log_CLUSTERIDS_grid_50nodes_dao_flood_balanced_seed20260604.log	CLUSTERIDS	grid	50	dao_flood	20260604
log_CLUSTERIDS_grid_50nodes_mixed_balanced_seed20260602.log	CLUSTERIDS	grid	50	mixed	20260602
log_CLUSTERIDS_grid_50nodes_mixed_balanced_seed20260603.log	CLUSTERIDS	grid	50	mixed	20260603
log_CLUSTERIDS_grid_50nodes_mixed_balanced_seed20260604.log	CLUSTERIDS	grid	50	mixed	20260604
log_CLUSTERIDS_grid_50nodes_mixed_eco_seed20260602.log	CLUSTERIDS	grid	50	mixed	20260602
log_CLUSTERIDS_grid_50nodes_mixed_eco_seed20260603.log	CLUSTERIDS	grid	50	mixed	20260603
log_CLUSTERIDS_grid_50nodes_mixed_eco_seed20260604.log	CLUSTERIDS	grid	50	mixed	20260604
log_CLUSTERIDS_grid_50nodes_mixed_full_seed20260602.log	CLUSTERIDS	grid	50	mixed	20260602
log_CLUSTERIDS_grid_50nodes_mixed_full_seed20260603.log	CLUSTERIDS	grid	50	mixed	20260603
log_CLUSTERIDS_grid_50nodes_mixed_full_seed20260604.log	CLUSTERIDS	grid	50	mixed	20260604
log_CLUSTERIDS_grid_50nodes_rank_balanced_seed20260602.log	CLUSTERIDS	grid	50	rank	20260602
log_CLUSTERIDS_grid_50nodes_rank_balanced_seed20260603.log	CLUSTERIDS	grid	50	rank	20260603
log_CLUSTERIDS_grid_50nodes_rank_balanced_seed20260604.log	CLUSTERIDS	grid	50	rank	20260604
log_CLUSTERIDS_grid_50nodes_sel_fwd_balanced_seed20260602.log	CLUSTERIDS	grid	50	sel_fwd	20260602
log_CLUSTERIDS_grid_50nodes_sel_fwd_balanced_seed20260603.log	CLUSTERIDS	grid	50	sel_fwd	20260603
log_CLUSTERIDS_grid_50nodes_sel_fwd_balanced_seed20260604.log	CLUSTERIDS	grid	50	sel_fwd	20260604
log_CLUSTERIDS_grid_50nodes_wormhole_balanced_seed20260602.log	CLUSTERIDS	grid	50	wormhole	20260602
log_CLUSTERIDS_grid_50nodes_wormhole_balanced_seed20260603.log	CLUSTERIDS	grid	50	wormhole	20260603
log_CLUSTERIDS_grid_50nodes_wormhole_balanced_seed20260604.log	CLUSTERIDS	grid	50	wormhole	20260604
